,Brazil,prc_daily_increase,T-3,R0_T-3,T-4,R0_T-4,T-5,R0_T-5,T-6,R0_T-6,T-7,R0_T-7,T-8,R0_T-8,pred_T-3,pred_T-4,pred_T-5,pred_T-6,pred_T-7,pred_T-8
2020-02-18,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0
2020-02-19,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0
2020-02-20,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0
2020-02-21,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0
2020-02-22,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0
2020-02-23,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0
2020-02-24,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0
2020-02-25,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0
2020-02-26,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1,1,1,1,1,1
2020-02-27,0.0,-1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0
2020-02-28,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0
2020-02-29,1.0,,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,1,1,1,1,1,1
2020-03-01,0.0,-1.0,0.0,,1.0,0.0,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0
2020-03-02,0.0,,0.0,,0.0,,1.0,0.0,0.0,,0.0,,0.0,,0,0,0,0,0,0
2020-03-03,0.0,,1.0,0.0,0.0,,0.0,,1.0,0.0,0.0,,0.0,,0,0,0,0,0,0
2020-03-04,2.0,,0.0,,1.0,2.0,0.0,,0.0,,1.0,2.0,0.0,,2,2,2,2,2,2
2020-03-05,0.0,-1.0,0.0,,0.0,,1.0,0.0,0.0,,0.0,,1.0,0.0,0,0,0,0,0,0
2020-03-06,9.0,,0.0,,0.0,,0.0,,1.0,9.0,0.0,,0.0,,9,9,9,9,9,9
2020-03-07,0.0,-1.0,2.0,0.0,0.0,,0.0,,0.0,,1.0,0.0,0.0,,0,0,0,0,0,0
2020-03-08,7.0,,0.0,,2.0,3.5,0.0,,0.0,,0.0,,1.0,7.0,7,7,7,7,7,7
2020-03-09,5.0,-0.2857142857142857,9.0,0.5555555555555556,0.0,,2.0,2.5,0.0,,0.0,,0.0,,5,5,5,5,5,5
2020-03-10,6.0,0.19999999999999996,0.0,,9.0,0.6666666666666666,0.0,,2.0,3.0,0.0,,0.0,,6,6,6,6,6,6
2020-03-11,7.0,0.16666666666666674,7.0,1.0,0.0,,9.0,0.7777777777777778,0.0,,2.0,3.5,0.0,,7,7,7,7,7,7
2020-03-12,14.0,1.0,5.0,2.8,7.0,2.0,0.0,,9.0,1.5555555555555556,0.0,,2.0,7.0,14,14,14,14,14,14
2020-03-13,99.0,6.071428571428571,6.0,16.5,5.0,19.8,7.0,14.142857142857142,0.0,,9.0,11.0,0.0,,99,99,99,99,99,99
2020-03-14,0.0,-1.0,7.0,0.0,6.0,0.0,5.0,0.0,7.0,0.0,0.0,,9.0,0.0,0,0,0,0,0,0
2020-03-15,11.0,,14.0,0.7857142857142857,7.0,1.5714285714285714,6.0,1.8333333333333333,5.0,2.2,7.0,1.5714285714285714,0.0,,11,11,11,11,11,11
2020-03-16,38.0,2.4545454545454546,99.0,0.3838383838383838,14.0,2.7142857142857144,7.0,5.428571428571429,6.0,6.333333333333333,5.0,7.6,7.0,5.428571428571429,38,38,38,38,38,38
2020-03-17,121.0,2.1842105263157894,0.0,,99.0,1.2222222222222223,14.0,8.642857142857142,7.0,17.285714285714285,6.0,20.166666666666668,5.0,24.2,121,121,121,121,121,121
2020-03-18,51.0,-0.578512396694215,11.0,4.636363636363637,0.0,,99.0,0.5151515151515151,14.0,3.642857142857143,7.0,7.285714285714286,6.0,8.5,51,51,51,51,51,51
2020-03-19,249.0,3.882352941176471,38.0,6.552631578947368,11.0,22.636363636363637,0.0,,99.0,2.515151515151515,14.0,17.785714285714285,7.0,35.57142857142857,249,249,249,249,249,249
2020-03-20,172.0,-0.3092369477911646,121.0,1.421487603305785,38.0,4.526315789473684,11.0,15.636363636363637,0.0,,99.0,1.7373737373737375,14.0,12.285714285714286,172,172,172,172,172,172
2020-03-21,228.0,0.3255813953488371,51.0,4.470588235294118,121.0,1.884297520661157,38.0,6.0,11.0,20.727272727272727,0.0,,99.0,2.303030303030303,228,228,228,228,228,228
2020-03-22,,,,,,,,,,,,,,,713,245,559,228,79,0
2020-03-23,,,,,,,,,,,,,,,492,1197,235,728,276,112
2020-03-24,,,,,,,,,,,,,,,653,827,1151,307,879,388
2020-03-25,,,,,,,,,,,,,,,2043,1096,795,1499,370,1237
2020-03-26,,,,,,,,,,,,,,,1411,1179,1054,1036,1808,521
2020-03-27,,,,,,,,,,,,,,,1871,5759,2586,1373,1249,2546
2020-03-28,,,,,,,,,,,,,,,5853,3978,1090,1378,1656,1759
2020-03-29,,,,,,,,,,,,,,,4043,5273,5321,4390,580,2332
2020-03-30,,,,,,,,,,,,,,,5360,5673,3676,1850,2005,0
2020-03-31,,,,,,,,,,,,,,,16769,27698,4873,9034,6385,1150
2020-04-01,,,,,,,,,,,,,,,11584,19133,11955,6240,2691,3975
2020-04-02,,,,,,,,,,,,,,,15355,25362,5039,8272,13141,12660
2020-04-03,,,,,,,,,,,,,,,48041,27284,24603,8305,9077,5336
2020-04-04,,,,,,,,,,,,,,,33185,133212,16995,26445,12032,26052
2020-04-05,,,,,,,,,,,,,,,43989,92018,22528,11146,4217,17996
2020-04-06,,,,,,,,,,,,,,,137625,121977,55272,54421,14569,23855
2020-04-07,,,,,,,,,,,,,,,95066,131220,23296,37592,46391,0
2020-04-08,,,,,,,,,,,,,,,126018,640666,113742,49832,19553,11772
2020-04-09,,,,,,,,,,,,,,,394259,442549,78569,50028,95466,40669
2020-04-10,,,,,,,,,,,,,,,272339,586634,104149,159300,65944,129499
2020-04-11,,,,,,,,,,,,,,,361008,631087,255529,67143,87415,54582
2020-04-12,,,,,,,,,,,,,,,1129445,3081193,107702,327816,30638,266491
2020-04-13,,,,,,,,,,,,,,,780179,2128374,525841,226443,105840,184082
2020-04-14,,,,,,,,,,,,,,,1034191,2821333,363231,300169,337018,244016
2020-04-15,,,,,,,,,,,,,,,3235553,3035123,481493,301351,142049,0
2020-04-16,,,,,,,,,,,,,,,2235001,14818542,1181330,959567,693533,120421
2020-04-17,,,,,,,,,,,,,,,2962675,10236101,497916,404445,479067,416001
2020-04-18,,,,,,,,,,,,,,,9268979,13568786,2431003,1974646,635043,1324636
2020-04-19,,,,,,,,,,,,,,,6402668,14596976,1679247,1364012,222575,558317
2020-04-20,,,,,,,,,,,,,,,8487257,71267593,2225978,1808109,768898,2725905
